year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,saleday
2013,Hyundai,Elantra,GLS,Sedan,automatic,5NPDH4AE0DH344075,CA,44.0,38170,Gray,Beige,enterprise vehicle exchange/orange,11350,11600,2014-12-16,Tuesday
2013,Hyundai,Elantra,GLS,Sedan,automatic,5NPDH4AE8DH375848,CA,38.0,38594,Gray,Gray,avis corporation,11350,11800,2014-12-16,Tuesday
2013,Hyundai,Sonata,GLS,Sedan,automatic,5NPEB4AC7DH680813,CA,38.0,40322,Silver,Gray,avis corporation,11900,12300,2014-12-16,Tuesday
2013,Hyundai,Elantra,GLS,Sedan,automatic,5NPDH4AE5DH363852,CA,35.0,38388,Gray,Gray,enterprise vehicle exchange/orange,11350,11700,2014-12-16,Tuesday
2013,Hyundai,Sonata,GLS,Sedan,automatic,5NPEB4ACXDH745962,CA,25.0,40045,White,Beige,avis corporation,11900,12300,2014-12-16,Tuesday
2013,Hyundai,Sonata,GLS,Sedan,automatic,5NPEB4AC3DH734477,CA,33.0,37499,Blue,Gray,avis corporation,12050,12400,2014-12-16,Tuesday
2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,JN1CV6EK0DM921180,CA,45.0,16219,Gray,Black,nissan infiniti lt,25700,26500,2014-12-16,Tuesday
2013,Jeep,Wrangler,Unlimited Rubicon,Suv,manual,1C4BJWFG4DL585036,CA,47.0,9153,Red,Gray,clear view systems,34300,35250,2014-12-16,Tuesday
2013,Kia,Optima,EX Hybrid,Sedan,automatic,KNAGM4AD1D5057809,CA,44.0,16045,White,Beige,kia motors america  inc,16000,16800,2014-12-16,Tuesday
2013,Nissan,Altima,2.5,Sedan,automatic,1N4AL3AP3DN535427,CA,36.0,37136,Red,Beige,avis corporation,12900,13800,2014-12-16,Tuesday
2013,Nissan,Altima,2.5,Sedan,automatic,1N4AL3AP4DN454940,CA,32.0,62381,Black,Black,the hertz corporation,11700,11900,2014-12-16,Tuesday
2013,Kia,Optima,EX Hybrid,Sedan,automatic,KNAGM4AD9D5054379,CA,46.0,11757,Black,Black,kia motors america  inc,16050,16500,2014-12-16,Tuesday
2013,Nissan,Altima,2.5,Sedan,automatic,1N4AL3AP9DC280391,CA,43.0,38974,Silver,Black,enterprise vehicle exchange/orange,12800,13600,2014-12-16,Tuesday
2013,Nissan,Altima,2.5,Sedan,automatic,1N4AL3AP5DC205039,CA,4.0,37020,Red,Black,enterprise vehicle exchange/orange,13400,13600,2014-12-16,Tuesday
2013,Mazda,Mazda2,Touring,Hatchback,automatic,JM1DE1LZ0D0160159,CA,35.0,44392,Red,Black,the hertz corporation,8475,8500,2014-12-16,Tuesday
2013,Kia,Optima,EX Hybrid,Sedan,automatic,KNAGM4AD6D5055554,CA,42.0,19543,Black,Gray,kia motors america  inc,15900,16100,2014-12-16,Tuesday
2013,Nissan,370Z,Base,Convertible,automatic,JN1AZ4FH8DM790096,CA,43.0,445,Silver,Black,nissan north america inc.,29800,28750,2014-12-16,Tuesday
2013,Kia,Sorento,LX,Suv,automatic,5XYKTDA2XDG322880,CA,44.0,48050,Silver,Gray,kia motors america  inc -lemon law buybacks,15700,12750,2014-12-16,Tuesday
2013,Nissan,Altima,2.5,Sedan,automatic,1N4AL3AP0DN511313,CA,35.0,38688,Red,Black,avis corporation,12850,13500,2014-12-16,Tuesday
2013,Nissan,Altima,2.5,Sedan,automatic,1N4AL3AP2DN571447,CA,33.0,40931,Charcoal,Black,enterprise vehicle exchange/orange,12750,13500,2014-12-16,Tuesday
2013,Nissan,370Z,Base,Coupe,automatic,JN1AZ4EH8DM881810,CA,38.0,10506,Black,Black,nissan north america inc.,23600,21500,2014-12-16,Tuesday
2013,Nissan,Altima,2.5 S,Coupe,automatic,1N4AL2EP0DC290165,CA,44.0,10510,Gray,Black,team nissan,15650,15500,2014-12-16,Tuesday
2013,Mazda,Mazda3,i Touring,Sedan,automatic,JM1BL1VP7D1768022,CA,3.0,47917,Black,Black,south bay hyundai,9100,9600,2014-12-16,Tuesday
2013,Mazda,Mazda5,Touring,Minivan,automatic,JM1CW2CL1D0150492,CA,35.0,39272,Red,Gray,avis corporation,11300,12400,2014-12-16,Tuesday
2013,Mazda,Mazda3,i Sport,Sedan,automatic,JM1BL1UPXD1794194,CA,2.0,45649,Black,Black,jpmorgan chase bank n.a.,10250,10000,2014-12-16,Tuesday
2013,Mazda,Cx-9,Touring,Suv,automatic,JM3TB2CV0D0411079,CA,29.0,41807,Gray,Black,avis corporation,18850,19900,2014-12-16,Tuesday
2013,Kia,Optima,EX Hybrid,Sedan,automatic,KNAGM4AD4D5057867,CA,49.0,19078,White,Gray,kia motors america  inc,15950,16500,2014-12-16,Tuesday
2013,Mazda,Mazda5,Sport,Minivan,automatic,JM1CW2BL1D0154950,CA,29.0,40275,Gray,Black,enterprise vehicle exchange/orange,12050,12200,2014-12-16,Tuesday
2013,Kia,Rio,LX,Sedan,manual,KNADM4A35D6233930,CA,19.0,22658,White,Beige,tdaf remarketing,9225,5500,2014-12-16,Tuesday
2013,Kia,Optima,EX Hybrid,Sedan,automatic,KNAGM4AD0D5055811,CA,44.0,18554,Gray,Black,kia motors america  inc,15950,15700,2014-12-16,Tuesday
2013,Jeep,Grand Cherokee,Limited,Suv,automatic,1C4RJEBG1DC636460,CA,43.0,39566,Black,Black,avis corporation,25200,26750,2014-12-16,Tuesday
2013,Kia,Optima,EX Hybrid,Sedan,automatic,KNAGM4AD1D5055882,CA,41.0,21258,White,Beige,kia motors america  inc,15900,16400,2014-12-16,Tuesday
2013,Kia,Optima,EX Hybrid,Sedan,automatic,KNAGM4AD0D5057798,CA,44.0,20984,White,Black,kia motors america  inc,15900,16500,2014-12-16,Tuesday
2013,Mazda,Mazda5,Sport,Minivan,automatic,JM1CW2BL6D0159321,CA,45.0,7787,White,Beige,tycon enterprises,14200,14000,2014-12-16,Tuesday
